  |  *id*  |  *Experimentid*  |  *description*  |  *Notes*  |  *T_Completeness*  |  *S_Completeness*  |  *Completeness*  |  *T_Correctness*  |  *S_Correctness*  |  *Correctness*  |  *Variation*  |  *Transport*  |  *Supply*  |  *ProjectSupply*  |  *type*  |  *status*  |  *gls*  |  *logging*  |  *finished*  |  *Experiment Started*  |  *Oplan*  |  *GLS*  |  *Final Planning Complete*  |  *Log Started*  |
  |  7  |  JTG-Robustness-FA-UC1-B-4_123-MSB-1of1 <span class="Folder">JTG-Robustness-FA-UC1-B-4_123-MSB-1of1_02-12-03_21</span>   |  Kill 7 mins after GLS  |  <span id="Failed"> Failed run. Tried yet another simpler set of agents (minus FWD-G + 123-MSB), but recovery of agents timed out at 3*baseline (66min).   <em>Run id is duplicate as we dropped the database.</em></span>  |  &nbsp;  |  &nbsp;  |  98.56503  |  &nbsp;  |  &nbsp;  |  98.94119  |  99.1261410518793  |  2388  |  &nbsp;  |  13861  |  stress  |  100  |  132  |  132  |  132  |  2002-12-03_21:19:07  |  21:35  |  25:51  |  &nbsp;  |  2002-12-04_03:54:50  |  
  |  8  |  JTG-Robustness-FA-UC1-B-4-1of1 <span class="Folder">JTG-Robustness-FA-UC1-B-4-1of1_02-12-03_23</span>   |  Kill 7 mins after GLS  |  <span id="Ignored"> Successful B-4 run.<em>Does not wait 5min after "ready for GLS" before publishing GLS and does not have inventory data, so it is ignored.</em> <em>Run id is duplicate as we dropped the database.</em></span>  |  &nbsp;  |  &nbsp;  |  99.70794  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.4629955086897  |  2388  |  &nbsp;  |  8935  |  stress  |  100  |  133  |  132  |  132  |  2002-12-03_23:28:24  |  21:14  |  26:35  |  86:36  |  2002-12-04_05:56:09  |  
  |  9  |  JTG-Robustness-FA-UC1-A-4-1of1 <span class="Folder">JTG-Robustness-FA-UC1-A-4-1of1_02-12-04_01</span>   |  Kill 7 mins after GLS  |  <span id="Failed"> Failed run. Recovery of agents timed out at 3*baseline (66min) <em>Run id is duplicate as we dropped the database.</em></span>  |  &nbsp;  |  &nbsp;  |  62.12357  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.7985791893021  |  2388  |  &nbsp;  |  13113  |  stress  |  100  |  132  |  132  |  132  |  2002-12-04_01:17:05  |  21:45  |  26:49  |  &nbsp;  |  2002-12-04_11:44:52  |  
  |  10  |  JTG-Robustness-FA-UC1-B-4-1of1 <span class="Folder">JTG-Robustness-FA-UC1-B-4-1of1_02-12-04_11</span>   |  Kill 7 mins after GLS  |  <span id="Failed"> Failed run. Recovery of agents timed out even at 5*baseline (110min) <em>Run id is duplicate as we dropped the database.</em></span>  |  &nbsp;  |  &nbsp;  |  61.78284  |  &nbsp;  |  &nbsp;  |  99.93697  |  98.3507537160565  |  2185  |  &nbsp;  |  10686  |  stress  |  100  |  142  |  132  |  132  |  2002-12-04_11:28:07  |  41:4  |  50:32  |  &nbsp;  |  2002-12-04_19:11:58  |  
  |  46  |  Robustness  |  Robustness UC1  |  <span id="Failed"> Dummy entry created to sync up the run ids across database dumps.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  base  |  55  |  0  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  47  |  JTG-Robustness-FA-UC1-B-4_MinusFWD-G-1of1 <span class="Folder">JTG-Robustness-FA-UC1-B-4_MinusFWD-G-1of1_02-12-04_15</span>   |  Kill 7 mins after GLS on Wed Dec 04 15:32:43 Eastern Standard Time 2002  |  <span id="Ignored"> Ignored run. Planning complete received at 96 minutes. But this is a non-standard agent list.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  132  |  132  |  132  |  2002-12-04_15:32:43  |  21:30  |  30:57  |  96:17  |  2002-12-04_22:13:17  |  
  |  48  |  JTG-Baseline-FA-Planning-A-1of2 <span class="Folder">JTG-Baseline-FA-Planning-A-1of2_02-12-04_18</span>   |  Planning baseline on Wed Dec 04 18:21:00 Eastern Standard Time 2002  |  <span id="Baseline"> <bold>Successful Planning Baseline 3</bold></span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  base  |  100  |  132  |  132  |  132  |  2002-12-04_18:21:00  |  21:40  |  26:16  |  46:4  |  2002-12-05_00:08:04  |  
  |  49  |  JTG-Baseline-FA-Planning-A-2of2 <span class="Folder">JTG-Baseline-FA-Planning-A-2of2_02-12-04_19</span>   |  Planning baseline on Wed Dec 04 19:36:44 Eastern Standard Time 2002  |  <span id="Failed"> Failed run. Did not receive "Oplan ready" so terminated at 90 minutes.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  0  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  50  |  JTG-Robustness-FA-UC1-B-2-1of1 <span class="Folder">JTG-Robustness-FA-UC1-B-2-1of1_02-12-04_21</span>   |  Kill before sending GetLogSupport on Wed Dec 04 21:21:06 Eastern Standard Time 2002  |  <span id="Successful"> <bold>Valid Robustness B-2 run</bold>. Did not receive planning complete and all agents did not log. Timed out at 210 minutes on logging.</span>  |  &nbsp;  |  &nbsp;  |  61.55893  |  &nbsp;  |  &nbsp;  |  100.00000  |  97.9230363732209  |  1544  |  &nbsp;  |  7384  |  stress  |  55  |  132  |  86  |  84  |  2002-12-04_21:21:06  |  22:43  |  32:9  |  &nbsp;  |  2002-12-05_05:33:35  |  
  |  51  |  JTG-Robustness-FA-UC1-B-5-1of1 <span class="Folder">JTG-Robustness-FA-UC1-B-5-1of1_02-12-05_01</span>   |  Kill BASELINE/2 mins after GLS on Thu Dec 05 01:33:48 Eastern Standard Time 2002  |  <span id="Successful"> <bold>Valid Robustness B-5 run</bold>. Received planning complete, but all agents did not log, hence no LOGGING_COMPLETE. <em>Timeout block for logging did not stop society due to a errorneous condition. Manually interrupted</em>.</span>  |  &nbsp;  |  &nbsp;  |  58.99208  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.5599317894274  |  1393  |  &nbsp;  |  5131  |  stress  |  55  |  132  |  80  |  80  |  2002-12-05_01:33:48  |  21:25  |  30:26  |  48:40  |  2002-12-05_07:32:59  |  
  |  52  |  JTG-Robustness-FA-UC1-B-7-1of1 <span class="Folder">JTG-Robustness-FA-UC1-B-7-1of1_02-12-05_09</span>   |  Kill after Planning complete on Thu Dec 05 09:50:55 Eastern Standard Time 2002  |  <span id="Successful"> <bold>Valid Robustness B-7 run</bold>. Received planning complete, but did not receive LOGGING_COMPLETE. <em>Timeout block for logging did not stop society due to a errorneous condition. Manually interrupted</em>.</span>  |  &nbsp;  |  &nbsp;  |  99.69496  |  &nbsp;  |  &nbsp;  |  99.97071  |  98.9030662066272  |  2388  |  &nbsp;  |  12475  |  stress  |  100  |  132  |  132  |  132  |  2002-12-05_09:50:55  |  23:59  |  33:24  |  &nbsp;  |  2002-12-05_16:37:57  |  
  |  53  |  JTG-Logistics-FA-UC1-B-2-1of1 <span class="Folder">JTG-Logistics-FA-UC1-B-2-1of1_02-12-05_13</span>   |  Level 2 and 6 Play - 20 percent CPU stress  |  <span id="Ignored"> Successful Logistics B-2 run. Obtained planning complete. <em>Rerunning the whole set at a later time. Used to validate inventory data</em></span>  |  &nbsp;  |  &nbsp;  |  100.00000  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.9221183800623  |  2388  |  &nbsp;  |  8680  |  stress  |  100  |  132  |  132  |  132  |  2002-12-05_13:02:39  |  0:24:06  |  0:28:36  |  0:50:15  |  2002-12-05_18:54:07  |  
  |  54  |  JTG-Robustness-FA-UC1-B-4-1of1 <span class="Folder">null</span>   |  Kill 7 mins after GLS on Thu Dec 05 14:25:22 Eastern Standard Time 2002  |  <span id="Failed"> Mysteriously terminated run. The script controller window disappeared.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  0  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  55  |  JTG-Robustness-FA-UC1-B-4-1of1 <span class="Folder">JTG-Robustness-FA-UC1-B-4-1of1_02-12-05_15</span>   |  Kill 7 mins after GLS on Thu Dec 05 15:06:27 Eastern Standard Time 2002  |  <span id="Failed"> Failed run. Received planning complete before all agents were restored. So only 80 agents logged successfully.</span>  |  &nbsp;  |  &nbsp;  |  62.02622  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.5657633148478  |  2139  |  &nbsp;  |  8631  |  stress  |  55  |  132  |  120  |  111  |  2002-12-05_15:06:27  |  21:33  |  31:23  |  92:48  |  2002-12-05_21:05:22  |  
  |  56  |  JTG-Robustness-FA-UC1-B-2-1of1 <span class="Folder">JTG-Robustness-FA-UC1-B-2-1of1_02-12-05_17</span>   |  Kill before sending GetLogSupport on Thu Dec 05 17:22:43 Eastern Standard Time 2002  |  <span id="Failed"> Failed run. Timed out at 210 minutes and script hung, so was abnormally terminated.</span>  |  &nbsp;  |  &nbsp;  |  1.09683  |  &nbsp;  |  &nbsp;  |  100.00000  |  100  |  163  |  &nbsp;  |  12  |  stress  |  55  |  133  |  16  |  10  |  2002-12-05_17:22:43  |  23:9  |  38:22  |  &nbsp;  |  2002-12-06_01:41:22  |  
  |  57  |  JTG-Robustness-FA-UC1-FWD-C_REAR-B-1of1 <span class="Folder">JTG-Robustness-FA-UC1-FWD-C_REAR-B-1of1_02-12-05_21</span>   |  Kill 7 mins after GLS on Thu Dec 05 21:14:23 Eastern Standard Time 2002  |  <span id="Failed"> Failed run. Did not get Planning complete. <em>All agents migrating to same restart nodes, so rehydrating multiple times.</em></span>  |  &nbsp;  |  &nbsp;  |  93.11526  |  &nbsp;  |  &nbsp;  |  99.21936  |  99.0715906746441  |  2388  |  &nbsp;  |  8044  |  stress  |  100  |  132  |  132  |  132  |  2002-12-05_21:14:23  |  23:52  |  35:57  |  &nbsp;  |  2002-12-06_05:21:10  |  
  |  58  |  JTG-Robustness-FA-UC1-FWD-CE_REAR-BG-1of1 <span class="Folder">JTG-Robustness-FA-UC1-FWD-CE_REAR-BG-1of1_02-12-06_00</span>   |  Kill 7 mins after GLS on Fri Dec 06 00:47:17 Eastern Standard Time 2002  |  <span id="Failed"> Failed run. Did not get Planning complete. <em>All agents migrating to same restart nodes, so rehydrating multiple times.</em></span>  |  &nbsp;  |  &nbsp;  |  99.97079  |  &nbsp;  |  &nbsp;  |  99.58451  |  98.4643179765131  |  2388  |  &nbsp;  |  12258  |  stress  |  100  |  132  |  132  |  132  |  2002-12-06_00:47:17  |  22:19  |  33:6  |  &nbsp;  |  2002-12-06_08:51:16  |  
  |  59  |  JTG-Robustness-FA-UC1-B-4_MinusFWD-G-1of1 <span class="Folder">JTG-Robustness-FA-UC1-B-4_MinusFWD-G-1of1_02-12-06_04</span>   |  Kill 7 mins after GLS on Fri Dec 06 04:25:48 Eastern Standard Time 2002  |  <span id="Failed"> Failed run. Did not get Planning complete. <em>All agents migrating to same restart nodes, so rehydrating multiple times.</em></span>  |  &nbsp;  |  &nbsp;  |  98.83178  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.9624376149199  |  2388  |  &nbsp;  |  13333  |  stress  |  100  |  132  |  132  |  132  |  2002-12-06_04:25:48  |  22:31  |  33:14  |  &nbsp;  |  2002-12-06_12:30:02  |  
  |  60  |  JTG-Robustness-FA-UC1-B-4-1of1 <span class="Folder">JTG-Robustness-FA-UC1-B-4-1of1_02-12-06_08</span>   |  Kill 7 mins after GLS on Fri Dec 06 08:14:26 Eastern Standard Time 2002  |  <span id="Failed"> Failed run. Interrupted as all previous runs had been unsuccessful.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  132  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  61  |  JTG-Robustness-FA-UC1-B-4-1of1 <span class="Folder">JTG-Robustness-FA-UC1-B-4-1of1_02-12-06_10</span>   |  Kill 7 mins after GLS on Fri Dec 06 10:04:54 Eastern Standard Time 2002  |  <span id="Failed"> Failed run. Searching for successful robustness run settings. Did not receive planning complete, so interrupted at 121 minutes instead of waiting for timeout.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  147  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  62  |  JTG-Robustness-FA-UC1-FWD-C_REAR-B-1of1 <span class="Folder">JTG-Robustness-FA-UC1-FWD-C_REAR-B-1of1_02-12-06_12</span>   |  Kill 7 mins after GLS on Fri Dec 06 12:28:25 Eastern Standard Time 2002  |  <span id="Failed"> Failed run. Tried a really simple agent set in light of previous results. Did not receive planning complete and timed out.</span>  |  &nbsp;  |  &nbsp;  |  99.57814  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.5661213582741  |  2388  |  &nbsp;  |  8827  |  stress  |  100  |  133  |  132  |  132  |  2002-12-06_12:28:25  |  22:21  |  33:1  |  &nbsp;  |  2002-12-06_20:32:25  |  
  |  63  |  JTG-Robustness-FA-UC1-E-1-1of1 <span class="Folder">JTG-Robustness-FA-UC1-E-1-1of1_02-12-06_16</span>   |  Execution kill after first Oplan update on Fri Dec 06 16:37:26 Eastern Standard Time 2002  |  <span id="Failed"> Failed run. Did not receive planning complete after first advance of clock.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  132  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  64  |  JTG-Baseline-FA-Planning-A-1of2 <span class="Folder">JTG-Baseline-FA-Planning-A-1of2_02-12-06_20</span>   |  Planning baseline on Fri Dec 06 20:05:29 Eastern Standard Time 2002  |  <span id="Ignored"> Successful run. Used primarily to provide inventory data for Military logistics. Ignored for baseline calculations. Datagrabber was dead.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  base  |  100  |  132  |  132  |  132  |  2002-12-06_20:05:29  |  22:55  |  26:18  |  42:28  |  2002-12-07_01:48:54  |  
  |  65  |  JTG-Baseline-FA-Planning-A-2of2 <span class="Folder">JTG-Baseline-FA-Planning-A-2of2_02-12-06_21</span>   |  Planning baseline on Fri Dec 06 21:23:16 Eastern Standard Time 2002  |  <span id="Ignored"> Successful run. Used for inventory, but datagrabber was dead.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  base  |  100  |  132  |  132  |  132  |  2002-12-06_21:23:16  |  23:8  |  27:47  |  43:25  |  2002-12-07_03:07:40  |  
  |  66  |  JTG-Logistics-FA-UC1-B-2-1of6 <span class="Folder">JTG-Logistics-FA-UC1-B-2-1of6_02-12-06_22</span>   |  Level 2 and 6 Play - 0 percent CPU stress  |  <span id="Failed"> Successful run. Datagrabber was dead, so cannot use.</span>  |  &nbsp;  |  &nbsp;  |  100.00000  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.9193925233645  |  2388  |  &nbsp;  |  8680  |  stress  |  100  |  132  |  132  |  132  |  2002-12-06_22:43:24  |  23:13  |  27:16  |  42:22  |  2002-12-07_04:26:58  |  
  |  67  |  JTG-Logistics-FA-UC1-B-2-2of6 <span class="Folder">JTG-Logistics-FA-UC1-B-2-2of6_02-12-07_00</span>   |  Level 2 and 6 Play - 20 percent CPU stress  |  <span id="Failed"> Successful run. Datagrabber was dead, so cannot use.</span>  |  &nbsp;  |  &nbsp;  |  99.99026  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.5651186187648  |  2388  |  &nbsp;  |  8679  |  stress  |  100  |  132  |  132  |  132  |  2002-12-07_00:03:02  |  24:21  |  29:15  |  77:26  |  2002-12-07_06:21:33  |  
  |  68  |  JTG-Logistics-FA-UC1-B-2-3of6 <span class="Folder">JTG-Logistics-FA-UC1-B-2-3of6_02-12-07_01</span>   |  Level 2 and 6 Play - 40 percent CPU stress  |  <span id="Failed"> Successful run. Datagrabber was dead. so cannot use.</span>  |  &nbsp;  |  &nbsp;  |  100.00000  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.2925752855659  |  2388  |  &nbsp;  |  8680  |  stress  |  100  |  132  |  132  |  132  |  2002-12-07_01:55:51  |  22:58  |  28:22  |  78:23  |  2002-12-07_08:15:25  |  
  |  69  |  JTG-Logistics-FA-UC1-B-2-4of6 <span class="Folder">JTG-Logistics-FA-UC1-B-2-4of6_02-12-07_03</span>   |  Level 2 and 6 Play - 50 percent CPU stress  |  <span id="Failed"> Successful run. Datagrabber was dead, so cannot use.</span>  |  &nbsp;  |  &nbsp;  |  99.99026  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.549313601402  |  2388  |  &nbsp;  |  8679  |  stress  |  100  |  132  |  132  |  132  |  2002-12-07_03:50:34  |  23:9  |  27:34  |  82:4  |  2002-12-07_10:13:39  |  
  |  70  |  JTG-Logistics-FA-UC1-B-2-5of6 <span class="Folder">JTG-Logistics-FA-UC1-B-2-5of6_02-12-07_05</span>   |  Level 2 and 6 Play - 60 percent CPU stress  |  <span id="Failed"> Successful run. Datagrabber was dead, so cannot use.</span>  |  &nbsp;  |  &nbsp;  |  99.99026  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.5298413007497  |  2388  |  &nbsp;  |  8679  |  stress  |  100  |  132  |  132  |  132  |  2002-12-07_05:49:16  |  24:22  |  29:24  |  92:54  |  2002-12-07_12:23:26  |  
  |  71  |  JTG-Logistics-FA-UC1-B-2-6of6 <span class="Folder">JTG-Logistics-FA-UC1-B-2-6of6_02-12-07_08</span>   |  Level 2 and 6 Play - 70 percent CPU stress  |  <span id="Failed"> Successful run. Datagrabber was dead, so cannot use.</span>  |  &nbsp;  |  &nbsp;  |  88.40862  |  &nbsp;  |  &nbsp;  |  100.00000  |  97.9408310086625  |  1441  |  &nbsp;  |  11217  |  stress  |  100  |  136  |  132  |  132  |  2002-12-07_08:00:50  |  23:42  |  29:4  |  &nbsp;  |  2002-12-07_16:01:50  |  
  |  72  |  JTG-Robustness-FA-UC1-E-1-1of1 <span class="Folder">JTG-Robustness-FA-UC1-E-1-1of1_02-12-07_11</span>   |  Execution kill after first Oplan update on Sat Dec 07 11:51:27 Eastern Standard Time 2002  |  <span id="Failed"> Failed run. Datagrabber was dead, so cannot use.</span>  |  &nbsp;  |  &nbsp;  |  46.38743  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.6501128668172  |  937  |  &nbsp;  |  7626  |  aborted  |  55  |  144  |  48  |  48  |  2002-12-06_16:37:26  |  0:23:41  |  0:28:38  |  &nbsp;  |  2002-12-07_19:51:09  |  
  |  73  |  JTG-Robustness-FA-UC1-E-2-1of1 <span class="Folder">JTG-Robustness-FA-UC1-E-2-1of1_02-12-07_16</span>   |  Execution kill after second Oplan update on Sat Dec 07 16:11:27 Eastern Standard Time 2002  |  <span id="Failed"> Failed run. Datagrabber was dead, so cannot use.</span>  |  &nbsp;  |  &nbsp;  |  66.91361  |  &nbsp;  |  &nbsp;  |  100.00000  |  97.3788192950198  |  2375  |  773  |  13558  |  aborted  |  55  |  132  |  131  |  131  |  2002-12-07_16:11:27  |  22:37  |  27:9  |  &nbsp;  |  2002-12-08_00:20:38  |  
  |  74  |  JTG-Robustness-FA-UC1-E-3-1of1 <span class="Folder">JTG-Robustness-FA-UC1-E-3-1of1_02-12-07_20</span>   |  Execution kill after demand injection on Sat Dec 07 20:37:50 Eastern Standard Time 2002  |  <span id="Failed"> Failed run. Datagrabber was dead, so cannot use.</span>  |  &nbsp;  |  &nbsp;  |  93.14398  |  &nbsp;  |  &nbsp;  |  99.95503  |  98.9460667210028  |  2311  |  3394  |  11647  |  aborted  |  55  |  132  |  129  |  129  |  2002-12-07_20:37:50  |  23:17  |  27:25  |  249:18  |  2002-12-08_04:50:34  |  
  |  75  |  JTG-Robustness-FA-UC1-E-4-1of1 <span class="Folder">JTG-Robustness-FA-UC1-E-4-1of1_02-12-08_00</span>   |  Execution kill after first and second Oplan update on Sun Dec 08 00:56:09 Eastern Standard Tim  |  <span id="Failed"> Failed run. Datagrabber was dead, so cannot use.</span>  |  &nbsp;  |  &nbsp;  |  53.62304  |  &nbsp;  |  &nbsp;  |  99.14567  |  97.4467877367702  |  1742  |  &nbsp;  |  5785  |  aborted  |  55  |  137  |  123  |  116  |  2002-12-08_00:56:09  |  23:22  |  28:34  |  &nbsp;  |  2002-12-08_08:56:25  |  
  |  76  |  JTG-Robustness-FA-UC1-E-5-1of1 <span class="Folder">JTG-Robustness-FA-UC1-E-5-1of1_02-12-08_05</span>   |  Execution kill after second and third logistic pertubation on Sun Dec 08 05:18:19 Eastern Stan  |  <span id="Failed"> Failed run. Datagrabber was dead, so cannot use.</span>  |  &nbsp;  |  &nbsp;  |  50.60995  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.2051414679564  |  1569  |  773  |  6637  |  base  |  0  |  133  |  87  |  86  |  2002-12-08_05:18:19  |  25:1  |  29:48  |  &nbsp;  |  2002-12-08_13:33:14  |  
  |  77  |  JTG-Robustness-FA-UC1-E-6-1of1 <span class="Folder">JTG-Robustness-FA-UC1-E-6-1of1_02-12-08_09</span>   |  Execution kill after each of three logistic pertubation on Sun Dec 08 09:39:34 Eastern Standar  |  <span id="Failed"> Failed run. Datagrabber was dead, so cannot use.</span>  |  &nbsp;  |  &nbsp;  |  47.40838  |  &nbsp;  |  &nbsp;  |  99.98343  |  99.1882937603534  |  1393  |  &nbsp;  |  5123  |  base  |  0  |  136  |  80  |  80  |  2002-12-08_09:39:34  |  22:33  |  25:51  |  &nbsp;  |  2002-12-08_17:50:37  |  
  |  78  |  JTG-Robustness-FA-UC1-EEasyEasy-1-1of1 <span class="Folder">JTG-Robustness-FA-UC1-EEasyEasy-1-1of1_02-12-08_13</span>   |  Execution kill after first Oplan update on Sun Dec 08 13:48:26 Eastern Standard Time 2  |  <span id="Failed"> Successful run. Datagrabber was dead, so cannot use.</span>  |  &nbsp;  |  &nbsp;  |  99.85602  |  &nbsp;  |  &nbsp;  |  99.96854  |  98.7599947568489  |  2388  |  4652  |  9993  |  base  |  100  |  132  |  132  |  132  |  2002-12-08_13:48:26  |  23:14  |  27:31  |  190:15  |  2002-12-08_21:59:41  |  
  |  79  |  JTG-Robustness-FA-UC1-EEasyEasy-2-1of1 <span class="Folder">JTG-Robustness-FA-UC1-EEasyEasy-2-1of1_02-12-08_17</span>   |  Execution kill after second Oplan update on Sun Dec 08 17:38:50 Eastern Standard Time  |  <span id="Failed"> Successful run. Datagrabber was dead, so cannot use.</span>  |  &nbsp;  |  &nbsp;  |  94.00785  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.7608253738409  |  2388  |  3935  |  13191  |  aborted  |  55  |  132  |  132  |  132  |  2002-12-08_17:38:50  |  22:13  |  28:15  |  180:47  |  2002-12-09_01:40:57  |  
  |  80  |  JTG-Robustness-FA-UC1-EEasyEasy-3-1of1 <span class="Folder">JTG-Robustness-FA-UC1-EEasyEasy-3-1of1_02-12-08_21</span>   |  Execution kill after demand injection on Sun Dec 08 21:52:21 Eastern Standard Time 200  |  <span id="Failed"> Failed run. Rehydration from previous runs files.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  44  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  81  |  JTG-Robustness-FA-UC1-EEasyEasy-4-1of1 <span class="Folder">JTG-Robustness-FA-UC1-EEasyEasy-4-1of1_02-12-08_22</span>   |  Execution kill after first and second Oplan update on Sun Dec 08 22:18:46 Eastern Stan  |  <span id="Failed"> Failed run. Datagrabber was dead, Agents did not rehydrate after second killing.</span>  |  &nbsp;  |  &nbsp;  |  99.64398  |  &nbsp;  |  &nbsp;  |  99.96847  |  98.3974358974359  |  2388  |  6190  |  12269  |  aborted  |  55  |  132  |  132  |  132  |  2002-12-08_22:18:46  |  25:32  |  30:28  |  163:40  |  2002-12-09_06:11:23  |  
  |  82  |  JTG-Robustness-FA-UC1-EEasyEasy-5-1of1 <span class="Folder">JTG-Robustness-FA-UC1-EEasyEasy-5-1of1_02-12-09_02</span>   |  Execution kill after second and third logistic pertubation on Mon Dec 09 02:15:58 East  |  <span id="Failed"> Failed run. Did not receive ready for GLS in 120 minutes.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  0  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  83  |  JTG-Robustness-FA-UC1-EEasyEasy-6-1of1 <span class="Folder">JTG-Robustness-FA-UC1-EEasyEasy-6-1of1_02-12-09_04</span>   |  Execution kill after each of three logistic pertubation on Mon Dec 09 04:29:17 Eastern  |  <span id="Failed"> Failed run. Datagrabber was dead, Agents did not rehydrate after second killing.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  132  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  84  |  JTG-Robustness-FA-UC1-BEasyEasy-7-1of1 <span class="Folder">JTG-Robustness-FA-UC1-BEasyEasy-7-1of1_02-12-09_12</span>   |  Kill after Planning complete on Mon Dec 09 12:55:26 Eastern Standard Time 2002  |  <span id="Successful"> <bold>Valid Robustness BEasyEasy-7 run</bold> Planning complete received at 78 min.</span>  |  &nbsp;  |  &nbsp;  |  99.73715  |  &nbsp;  |  &nbsp;  |  99.87962  |  98.1877338539125  |  2388  |  &nbsp;  |  12499  |  base  |  100  |  132  |  132  |  132  |  2002-12-09_12:55:26  |  39:28  |  49:26  |  &nbsp;  |  2002-12-09_20:00:36  |  
